# Categoria|Difficoltà|Domanda|Risposta corretta|Distrattore|Distrattore|Distrattore|Spiegazione facoltativa
Geografia|1|Qual è la capitale del Portogallo?|Lisbona|Porto|Madrid|Coimbra
Geografia|1|In quale continente si trova il Kenya?|Africa|Asia|Europa|Oceania
Geografia|1|Quale oceano separa l'Europa dall'America del Nord?|Atlantico|Pacifico|Indiano|Artico
Geografia|1|Quale città è attraversata dalla Senna?|Parigi|Roma|Berlino|Vienna
Geografia|1|Qual è la capitale del Giappone?|Tokyo|Kyoto|Osaka|Seoul
Geografia|2|Quale Stato ha come capitale Ottawa?|Canada|Australia|Irlanda|Nuova Zelanda
Geografia|2|Quale catena montuosa separa Spagna e Francia?|Pirenei|Alpi|Ande|Carpazi
Geografia|2|In quale paese si trova il deserto di Atacama principalmente?|Cile|Egitto|India|Mongolia
Geografia|2|Quale stretto separa Europa e Africa tra Spagna e Marocco?|Gibilterra|Bering|Bosforo|Malacca
Geografia|2|Quale paese circonda completamente il Lesotho?|Sudafrica|Kenya|Namibia|Botswana
Geografia|3|Qual è il lago più profondo del mondo?|Bajkal|Vittoria|Superiore|Titicaca
Geografia|2|Quale fiume attraversa Budapest?|Danubio|Reno|Tamigi|Volga
Geografia|3|Qual è la capitale della Mongolia?|Ulan Bator|Astana|Tashkent|Bishkek
Geografia|1|Quale isola italiana ha Palermo come capoluogo?|Sicilia|Sardegna|Elba|Capri
Storia|1|In quale anno Cristoforo Colombo raggiunse le Americhe?|1492|1453|1517|1789
Storia|1|Quale civiltà costruì le piramidi di Giza?|Egizia|Romana|Vichinga|Inca
Storia|1|Chi fu il primo imperatore romano?|Augusto|Nerone|Traiano|Adriano
Storia|1|In quale anno iniziò la Rivoluzione francese?|1789|1815|1848|1776
Storia|2|Quale città fu capitale dell'Impero bizantino?|Costantinopoli|Atene|Alessandria|Ravenna
Storia|2|In quale anno cadde il Muro di Berlino?|1989|1979|1991|1961
Storia|2|Quale popolo fondò la città di Cartagine?|Fenici|Etruschi|Persiani|Celti
Storia|2|Chi guidò la spedizione dei Mille?|Giuseppe Garibaldi|Camillo Cavour|Giuseppe Mazzini|Carlo Alberto
Storia|2|Quale battaglia segnò la sconfitta finale di Napoleone?|Waterloo|Austerlitz|Marengo|Jena
Storia|3|In quale anno fu firmata la Magna Carta inglese?|1215|1066|1314|1455
Storia|2|Quale evento si commemora in Italia il 25 aprile?|La Liberazione|L'Unità d'Italia|La nascita della Repubblica|La fine della Prima guerra mondiale
Storia|3|Quale pace del 1648 concluse la Guerra dei trent'anni?|Pace di Vestfalia|Pace di Utrecht|Pace di Augusta|Pace di Versailles
Storia|1|Quale città romana fu sepolta dal Vesuvio nel 79 d.C.?|Pompei|Aquileia|Ostia|Capua
Storia|2|Quale civiltà aveva Tenochtitlán come capitale?|Azteca|Maya|Inca|Olmeca
Scienza|1|Qual è la formula chimica dell'acqua?|H₂O|CO₂|O₂|NaCl
Scienza|1|Quale organo pompa il sangue nel corpo umano?|Cuore|Fegato|Polmone|Stomaco
Scienza|1|Qual è il simbolo chimico dell'ossigeno?|O|Ox|Og|Os
Scienza|1|Quale forza ci mantiene sulla superficie terrestre?|Gravità|Magnetismo|Attrito|Spinta di Archimede
Scienza|2|Quale particella atomica ha carica negativa?|Elettrone|Protone|Neutrone|Fotone
Scienza|2|Qual è l'unità di misura della resistenza elettrica?|Ohm|Watt|Volt|Ampere
Scienza|2|Come si chiama il passaggio da solido a gas senza fase liquida?|Sublimazione|Fusione|Condensazione|Solidificazione
Scienza|2|Quale gas è più abbondante nell'atmosfera terrestre?|Azoto|Ossigeno|Anidride carbonica|Idrogeno
Scienza|2|Quanti cromosomi contiene normalmente una cellula somatica umana?|46|23|48|44
Scienza|3|Quale legge lega pressione e volume di un gas ideale a temperatura costante?|Legge di Boyle|Legge di Ohm|Legge di Hooke|Legge di Coulomb
Scienza|2|Un pH inferiore a 7 indica generalmente una soluzione…|Acida|Basica|Sempre neutra|Priva di acqua
Scienza|3|Quale elemento ha numero atomico 6?|Carbonio|Azoto|Boro|Ossigeno
Scienza|1|Quale strumento si usa per misurare la temperatura?|Termometro|Barometro|Anemometro|Amperometro
